topic,h,p,v,ja,jt,hv
🎭 Giải trí & sở thích,足球,zúqiú,bóng đá,サッカー tiếng Nhật dùng katakana,diff,túc cầu
🎭 Giải trí & sở thích,篮球,lánqiú,bóng rổ,,,lam cầu
🎭 Giải trí & sở thích,游泳,yóuyǒng,bơi lội,,,du vịnh
🎭 Giải trí & sở thích,爬山,pá shān,leo núi,,,bá sơn
🎭 Giải trí & sở thích,旅游,lǚyóu,du lịch,旅行(りょこう)・tiếng Nhật dùng khác,diff,lữ du
🎭 Giải trí & sở thích,照相,zhàoxiàng,chụp ảnh,,,chiếu tướng
🎭 Giải trí & sở thích,画画,huà huà,vẽ tranh,,,họa họa
🎭 Giải trí & sở thích,看书,kàn shū,đọc sách,,,khán thư
🎭 Giải trí & sở thích,唱歌,chàng gē,hát,,,xướng ca
🎭 Giải trí & sở thích,跳舞,tiào wǔ,nhảy múa,,,khiêu vũ
🎭 Giải trí & sở thích,下棋,xià qí,chơi cờ,,,hạ kỳ
🎭 Giải trí & sở thích,爱好,àihào,sở thích,愛好(あいこう)・cùng nghĩa!,same,ái hiếu
🎭 Giải trí & sở thích,兴趣,xìngqù,hứng thú,"興味(きょうみ)・cùng nghĩa, tiếng Nhật dùng chữ khác",diff,hứng thú
🎭 Giải trí & sở thích,方便,fāngbiàn,tiện lợi,方便(ほうべん)= phương tiện/đủ thứ cớ ⚠️ FALSE FRIEND,false,phương tiện
🎭 Giải trí & sở thích,表演,biǎoyǎn,biểu diễn,"表演・không dùng, tiếng Nhật dùng 公演(こうえん)/演技(えんぎ)",diff,biểu diễn
🎭 Giải trí & sở thích,节目,jiémù,"chương trình (TV, sân khấu)",,,tiết mục
🎭 Giải trí & sở thích,故事,gùshi,câu chuyện,故事(こじ)= điển cố ⚠️ FALSE FRIEND,false,cố sự
🎭 Giải trí & sở thích,小说,xiǎoshuō,tiểu thuyết,小説(しょうせつ)・cùng nghĩa!,same,tiểu thuyết
🎭 Giải trí & sở thích,漫画,mànhuà,truyện tranh,漫画(まんが)・cùng nghĩa! (manga),same,mạn họa
🎭 Giải trí & sở thích,游戏,yóuxì,trò chơi,"遊戯(ゆうぎ)・cùng nghĩa nhưng ít dùng, tiếng Nhật hay dùng ゲーム",diff,du hý
🎭 Giải trí & sở thích,网络,wǎngluò,mạng internet,,,mạng lạc
🎭 Giải trí & sở thích,手机,shǒujī,điện thoại di động,,,thủ cơ
🎭 Giải trí & sở thích,节日,jiérì,"ngày lễ, lễ tết",祭日(さいじつ)・tiếng Nhật dùng chữ khác,diff,tiết nhật
🎭 Giải trí & sở thích,假期,jiàqī,kỳ nghỉ,休暇(きゅうか)・cùng nghĩa!,same,giả kỳ
🕐 Thời gian & số đếm,时间,shíjiān,thời gian,時間(じかん)・cùng nghĩa!,same,thời gian
🕐 Thời gian & số đếm,小时,xiǎoshí,giờ (đơn vị thời gian),,,tiểu thời
🕐 Thời gian & số đếm,分钟,fēnzhōng,phút,,,phân chung
🕐 Thời gian & số đếm,小时候,xiǎoshíhòu,"hồi nhỏ, lúc còn bé",,,tiểu thời hậu
🕐 Thời gian & số đếm,以前,yǐqián,trước đây,以前(いぜん)・cùng nghĩa!,same,dĩ tiền
🕐 Thời gian & số đếm,以后,yǐhòu,sau này,以後(いご)・cùng nghĩa!,same,dĩ hậu
🕐 Thời gian & số đếm,现在,xiànzài,"bây giờ, hiện tại",現在(げんざい)・cùng nghĩa!,same,hiện tại
🕐 Thời gian & số đếm,刚才,gāngcái,vừa nãy,,,cương tài
🕐 Thời gian & số đếm,马上,mǎshàng,ngay lập tức,馬上(ばじょう)= trên lưng ngựa ⚠️ FALSE FRIEND thú vị!,false,mã thượng
🕐 Thời gian & số đếm,已经,yǐjīng,đã (rồi),,,dĩ kinh
🕐 Thời gian & số đếm,还没,hái méi,vẫn chưa,,,hoàn một
🕐 Thời gian & số đếm,经常,jīngcháng,thường xuyên,経常(けいじょう)= thường xuyên/định kỳ nhưng dùng trong kinh tế,diff,kinh thường
🕐 Thời gian & số đếm,偶尔,ǒu'ěr,thỉnh thoảng,,,ngẫu nhĩ
🕐 Thời gian & số đếm,总是,zǒngshì,luôn luôn,,,tổng thị
🕐 Thời gian & số đếm,从来,cónglái,từ trước đến nay,,,tùng lai
🕐 Thời gian & số đếm,将来,jiānglái,tương lai,将来(しょうらい)・cùng nghĩa!,same,tương lai
🕐 Thời gian & số đếm,最近,zuìjìn,gần đây,最近(さいきん)・cùng nghĩa!,same,tối cận
🕐 Thời gian & số đếm,日期,rìqī,ngày tháng,"日期・không dùng, tiếng Nhật dùng 日付(ひづけ)",diff,nhật kỳ
🕐 Thời gian & số đếm,年,nián,năm,年(ねん/とし)・cùng nghĩa,same,niên
🕐 Thời gian & số đếm,月,yuè,tháng / mặt trăng,月(つき/げつ)・cùng nghĩa,same,nguyệt
🕐 Thời gian & số đếm,日,rì,ngày,日(ひ/にち)・cùng nghĩa,same,nhật
🕐 Thời gian & số đếm,星期,xīngqī,tuần lễ,,,tinh kỳ
🕐 Thời gian & số đếm,今天,jīntiān,hôm nay,,,kim thiên
🕐 Thời gian & số đếm,明天,míngtiān,ngày mai,,,minh thiên
🕐 Thời gian & số đếm,昨天,zuótiān,hôm qua,,,tạc thiên
🕐 Thời gian & số đếm,上午,shàngwǔ,buổi sáng (trước trưa),,,thượng ngọ
🕐 Thời gian & số đếm,下午,xiàwǔ,buổi chiều,,,hạ ngọ
🕐 Thời gian & số đếm,晚上,wǎnshang,buổi tối,,,vãn thượng
🕐 Thời gian & số đếm,半,bàn,nửa,半(はん)・cùng nghĩa,same,bán
🕐 Thời gian & số đếm,刻,kè,15 phút (một khắc),刻(こく/きざ-)= khắc thời gian cổ ⚠️ dùng khác,diff,khắc
💬 Cảm xúc & tính cách,高兴,gāoxìng,"vui mừng, vui vẻ",,,cao hứng
💬 Cảm xúc & tính cách,快乐,kuàilè,"hạnh phúc, vui sướng",快楽(かいらく)= khoái lạc ⚠️ FALSE FRIEND,false,khoái lạc
💬 Cảm xúc & tính cách,难过,nánguò,"buồn, khó chịu",,,nan quá
💬 Cảm xúc & tính cách,伤心,shāngxīn,đau lòng,,,thương tâm
💬 Cảm xúc & tính cách,生气,shēngqì,tức giận,生気(せいき)= sinh khí/sức sống ⚠️ FALSE FRIEND,false,sinh khí
💬 Cảm xúc & tính cách,害怕,hàipà,sợ hãi,,,hại phạ
💬 Cảm xúc & tính cách,担心,dānxīn,lo lắng,"担心・không dùng, tiếng Nhật dùng 心配(しんぱい)",diff,đam tâm
💬 Cảm xúc & tính cách,紧张,jǐnzhāng,"hồi hộp, căng thẳng",,,khẩn trương
💬 Cảm xúc & tính cách,轻松,qīngsōng,"thoải mái, nhẹ nhõm",,,khinh tùng
💬 Cảm xúc & tính cách,满意,mǎnyì,hài lòng,満足(まんぞく)・tiếng Nhật dùng chữ khác,diff,mãn ý
💬 Cảm xúc & tính cách,后悔,hòuhuǐ,hối tiếc,後悔(こうかい)・cùng nghĩa!,same,hậu hối
💬 Cảm xúc & tính cách,惊讶,jīngyà,ngạc nhiên,,,kinh nhã
💬 Cảm xúc & tính cách,骄傲,jiāo'ào,tự hào / kiêu ngạo,傲慢(ごうまん)・tiếng Nhật phân biệt rõ hơn,diff,kiêu ngạo
💬 Cảm xúc & tính cách,认真,rènzhēn,"nghiêm túc, cẩn thận",真剣(しんけん)・tiếng Nhật dùng khác,diff,nhận chân
💬 Cảm xúc & tính cách,聪明,cōngmíng,thông minh,聡明(そうめい)・cùng nghĩa! (ít dùng trong văn nói),same,thông minh
💬 Cảm xúc & tính cách,笨,bèn,"ngốc, vụng",,,bổn
💬 Cảm xúc & tính cách,懒,lǎn,lười biếng,懶・tiếng Nhật dùng 怠け者(なまけもの),diff,lãn
💬 Cảm xúc & tính cách,勤快,qínkuài,chăm chỉ,,,cần khoái
💬 Cảm xúc & tính cách,大方,dàfang,"rộng rãi, hào phóng",大方(おおかた)= phần lớn ⚠️ FALSE FRIEND,false,đại phương
💬 Cảm xúc & tính cách,小气,xiǎoqì,"keo kiệt, ki bo",,,tiểu khí
💬 Cảm xúc & tính cách,热情,rèqíng,nhiệt tình,熱情(ねつじょう)・cùng nghĩa!,same,nhiệt tình
💬 Cảm xúc & tính cách,冷静,lěngjìng,bình tĩnh,冷静(れいせい)・cùng nghĩa!,same,lãnh tĩnh
💬 Cảm xúc & tính cách,耐心,nàixīn,kiên nhẫn,根気(こんき)・tiếng Nhật dùng chữ khác,diff,nại tâm
💬 Cảm xúc & tính cách,自信,zìxìn,tự tin,自信(じしん)・cùng nghĩa!,same,tự tín
💬 Cảm xúc & tính cách,害羞,hàixiū,"ngại ngùng, xấu hổ",,,hại tu
💬 Cảm xúc & tính cách,坚强,jiānqiáng,"mạnh mẽ, cứng cỏi",,,kiên cường
💬 Cảm xúc & tính cách,勇敢,yǒnggǎn,dũng cảm,勇敢(ゆうかん)・cùng nghĩa!,same,dũng cảm
💬 Cảm xúc & tính cách,诚实,chéngshí,trung thực,誠実(せいじつ)・cùng nghĩa!,same,thành thật
💬 Cảm xúc & tính cách,友好,yǒuhǎo,thân thiện,友好(ゆうこう)= hữu nghị ⚠️ tiếng Nhật dùng cho quan hệ quốc gia,diff,hữu hảo
💬 Cảm xúc & tính cách,礼貌,lǐmào,lịch sự,礼儀(れいぎ)・tiếng Nhật dùng chữ khác,diff,lễ mạo
🏙 Xã hội & cuộc sống,生活,shēnghuó,"cuộc sống, sinh hoạt",生活(せいかつ)・cùng nghĩa!,same,sinh hoạt
🏙 Xã hội & cuộc sống,社会,shèhuì,xã hội,社会(しゃかい)・cùng nghĩa!,same,xã hội
🏙 Xã hội & cuộc sống,国家,guójiā,"đất nước, quốc gia",国家(こっか)・cùng nghĩa!,same,quốc gia
🏙 Xã hội & cuộc sống,政府,zhèngfǔ,chính phủ,政府(せいふ)・cùng nghĩa!,same,chính phủ
🏙 Xã hội & cuộc sống,法律,fǎlǜ,pháp luật,法律(ほうりつ)・cùng nghĩa!,same,pháp luật
🏙 Xã hội & cuộc sống,问题,wèntí,"vấn đề, câu hỏi",問題(もんだい)・cùng nghĩa!,same,vấn đề
🏙 Xã hội & cuộc sống,原因,yuányīn,nguyên nhân,原因(げんいん)・cùng nghĩa!,same,nguyên nhân
🏙 Xã hội & cuộc sống,结果,jiéguǒ,kết quả,結果(けっか)・cùng nghĩa!,same,kết quả
🏙 Xã hội & cuộc sống,目的,mùdì,mục đích,目的(もくてき)・cùng nghĩa!,same,mục đích
🏙 Xã hội & cuộc sống,方法,fāngfǎ,phương pháp,方法(ほうほう)・cùng nghĩa!,same,phương pháp
🏙 Xã hội & cuộc sống,条件,tiáojiàn,điều kiện,条件(じょうけん)・cùng nghĩa!,same,điều kiện
🏙 Xã hội & cuộc sống,机会,jīhuì,cơ hội,機会(きかい)・cùng nghĩa!,same,cơ hội
🏙 Xã hội & cuộc sống,关系,guānxi,mối quan hệ,関係(かんけい)・cùng nghĩa!,same,quan hệ
🏙 Xã hội & cuộc sống,影响,yǐngxiǎng,ảnh hưởng,影響(えいきょう)・cùng nghĩa!,same,ảnh hưởng
🏙 Xã hội & cuộc sống,发展,fāzhǎn,phát triển,発展(はってん)・cùng nghĩa!,same,phát triển
🏙 Xã hội & cuộc sống,变化,biànhuà,"thay đổi, biến hóa",変化(へんか)・cùng nghĩa!,same,biến hóa
🏙 Xã hội & cuộc sống,环境,huánjìng,môi trường,環境(かんきょう)・cùng nghĩa!,same,hoàn cảnh
🏙 Xã hội & cuộc sống,安全,ānquán,an toàn,安全(あんぜん)・cùng nghĩa!,same,an toàn
🏙 Xã hội & cuộc sống,自由,zìyóu,tự do,自由(じゆう)・cùng nghĩa!,same,tự do
🏙 Xã hội & cuộc sống,平等,píngděng,bình đẳng,平等(びょうどう)・cùng nghĩa!,same,bình đẳng
🏙 Xã hội & cuộc sống,文化,wénhuà,văn hóa,文化(ぶんか)・cùng nghĩa!,same,văn hóa
🏙 Xã hội & cuộc sống,历史,lìshǐ,lịch sử,歴史(れきし)・cùng nghĩa!,same,lịch sử
🏙 Xã hội & cuộc sống,传统,chuántǒng,truyền thống,伝統(でんとう)・cùng nghĩa!,same,truyền thống
🏙 Xã hội & cuộc sống,科学,kēxué,khoa học,科学(かがく)・cùng nghĩa!,same,khoa học
🏙 Xã hội & cuộc sống,技术,jìshù,"kỹ thuật, công nghệ",技術(ぎじゅつ)・cùng nghĩa!,same,kỹ thuật
🏙 Xã hội & cuộc sống,网络,wǎngluò,mạng (internet),,,mạng lạc
🏙 Xã hội & cuộc sống,城市,chéngshì,thành phố,"城市・不使用, tiếng Nhật dùng 都市(とし)",diff,thành thị
🏙 Xã hội & cuộc sống,农村,nóngcūn,nông thôn,,,nông thôn
🏙 Xã hội & cuộc sống,人口,rénkǒu,dân số,人口(じんこう)・cùng nghĩa!,same,nhân khẩu
🏙 Xã hội & cuộc sống,经济,jīngjì,kinh tế,経済(けいざい)・cùng nghĩa!,same,kinh tế
📝 Động từ thường dùng,认识,rènshi,"nhận ra, quen biết",認識(にんしき)= nhận thức ⚠️ tiếng Nhật trừu tượng hơn,diff,nhận thức
📝 Động từ thường dùng,了解,liǎojiě,"hiểu rõ, nắm rõ",了解(りょうかい)= đã hiểu/OK ⚠️ tiếng Nhật dùng để xác nhận,diff,liễu giải
📝 Động từ thường dùng,明白,míngbai,"hiểu, rõ ràng",明白(めいはく)= rõ ràng/hiển nhiên ⚠️ dùng chủ yếu là tính từ trong tiếng Nhật,diff,minh bạch
📝 Động từ thường dùng,记得,jìde,nhớ (ra),,,ký đắc
📝 Động từ thường dùng,忘记,wàngjì,quên,,,vong ký
📝 Động từ thường dùng,觉得,juéde,"cảm thấy, cho rằng",,,giác đắc
📝 Động từ thường dùng,认为,rènwéi,"cho rằng, nghĩ rằng",,,nhận vi
📝 Động từ thường dùng,希望,xīwàng,"hy vọng, mong muốn",希望(きぼう)・cùng nghĩa!,same,hi vọng
📝 Động từ thường dùng,相信,xiāngxìn,tin tưởng,信じる(しんじる)・tiếng Nhật dùng khác,diff,tương tín
📝 Động từ thường dùng,同意,tóngyì,đồng ý,同意(どうい)・cùng nghĩa!,same,đồng ý
📝 Động từ thường dùng,反对,fǎnduì,phản đối,反対(はんたい)・cùng nghĩa!,same,phản đối
📝 Động từ thường dùng,决定,juédìng,quyết định,決定(けってい)・cùng nghĩa!,same,quyết định
📝 Động từ thường dùng,选择,xuǎnzé,lựa chọn,選択(せんたく)・cùng nghĩa!,same,tuyển trạch
📝 Động từ thường dùng,完成,wánchéng,hoàn thành,完成(かんせい)・cùng nghĩa!,same,hoàn thành
📝 Động từ thường dùng,开始,kāishǐ,bắt đầu,開始(かいし)・cùng nghĩa!,same,khai thủy
📝 Động từ thường dùng,结束,jiéshù,kết thúc,終了(しゅうりょう)・tiếng Nhật dùng khác,diff,kết thúc
📝 Động từ thường dùng,继续,jìxù,tiếp tục,継続(けいぞく)・cùng nghĩa!,same,kế tục
📝 Động từ thường dùng,停止,tíngzhǐ,dừng lại,停止(ていし)・cùng nghĩa!,same,đình chỉ
📝 Động từ thường dùng,提高,tígāo,"nâng cao, cải thiện",,,đề cao
📝 Động từ thường dùng,减少,jiǎnshǎo,giảm bớt,減少(げんしょう)・cùng nghĩa!,same,giảm thiểu
📝 Động từ thường dùng,增加,zēngjiā,tăng thêm,増加(ぞうか)・cùng nghĩa!,same,tăng gia
📝 Động từ thường dùng,发现,fāxiàn,phát hiện,発見(はっけん)・cùng nghĩa!,same,phát hiện
📝 Động từ thường dùng,解决,jiějué,giải quyết,解決(かいけつ)・cùng nghĩa!,same,giải quyết
📝 Động từ thường dùng,帮助,bāngzhù,giúp đỡ,"帮助・không dùng, tiếng Nhật dùng 助ける(たすける)",diff,bang trợ
📝 Động từ thường dùng,支持,zhīchí,"ủng hộ, hỗ trợ",支持(しじ)・cùng nghĩa!,same,chi trì
📝 Động từ thường dùng,参加,cānjiā,tham gia,参加(さんか)・cùng nghĩa!,same,tham gia
📝 Động từ thường dùng,介绍,jièshào,giới thiệu,紹介(しょうかい)・cùng nghĩa! (chữ hơi khác),same,giới thiệu
📝 Động từ thường dùng,比较,bǐjiào,so sánh,比較(ひかく)・cùng nghĩa!,same,tỉ giảo
📝 Động từ thường dùng,表示,biǎoshì,"biểu thị, thể hiện",表示(ひょうじ)・cùng nghĩa!,same,biểu thị
📝 Động từ thường dùng,出现,chūxiàn,xuất hiện,出現(しゅつげん)・cùng nghĩa!,same,xuất hiện
🔑 Từ nối & hư từ quan trọng,因为,yīnwèi,"vì, bởi vì",,,nhân vi
🔑 Từ nối & hư từ quan trọng,所以,suǒyǐ,"vì vậy, cho nên",,,sở dĩ
🔑 Từ nối & hư từ quan trọng,虽然,suīrán,"tuy, mặc dù",,,tuy nhiên
🔑 Từ nối & hư từ quan trọng,但是,dànshì,nhưng mà,,,đãn thị
🔑 Từ nối & hư từ quan trọng,而且,érqiě,"hơn nữa, mà còn",,,nhi thả
🔑 Từ nối & hư từ quan trọng,不但,búdàn,không chỉ,,,bất đãn
🔑 Từ nối & hư từ quan trọng,如果,rúguǒ,nếu,,,như quả
🔑 Từ nối & hư từ quan trọng,只要,zhǐyào,chỉ cần,,,chỉ yếu
🔑 Từ nối & hư từ quan trọng,即使,jíshǐ,"dù cho, ngay cả khi",,,tức sử
🔑 Từ nối & hư từ quan trọng,无论,wúlùn,"dù... cũng, bất kể",,,vô luận
🔑 Từ nối & hư từ quan trọng,既然,jìrán,"đã vậy thì, vì đã",,,ký nhiên
🔑 Từ nối & hư từ quan trọng,否则,fǒuzé,nếu không thì,,,phủ tắc
🔑 Từ nối & hư từ quan trọng,另外,lìngwài,"ngoài ra, bên cạnh đó",,,lệnh ngoại
🔑 Từ nối & hư từ quan trọng,不过,búguò,"nhưng, tuy nhiên / chỉ là",,,bất quá
🔑 Từ nối & hư từ quan trọng,其实,qíshí,"thực ra, thực tế là",,,kỳ thực
🔑 Từ nối & hư từ quan trọng,当然,dāngrán,"dĩ nhiên, tất nhiên",当然(とうぜん)・cùng nghĩa!,same,đương nhiên
🔑 Từ nối & hư từ quan trọng,比较,bǐjiào,"tương đối, khá (so sánh)",,,tỉ giảo
🔑 Từ nối & hư từ quan trọng,非常,fēicháng,"rất, vô cùng",非常(ひじょう)= khẩn cấp ⚠️ FALSE FRIEND quan trọng!,false,phi thường
🔑 Từ nối & hư từ quan trọng,特别,tèbié,"đặc biệt, rất",特別(とくべつ)・cùng nghĩa!,same,đặc biệt
🔑 Từ nối & hư từ quan trọng,尤其,yóuqí,đặc biệt là,,,vưu kỳ
🔑 Từ nối & hư từ quan trọng,只有,zhǐyǒu,chỉ có,,,chỉ hữu
🔑 Từ nối & hư từ quan trọng,一共,yīgòng,"tất cả, tổng cộng",,,nhất cộng
🔑 Từ nối & hư từ quan trọng,一直,yīzhí,"cứ, mãi, liên tục",,,nhất trực
🔑 Từ nối & hư từ quan trọng,终于,zhōngyú,cuối cùng,終に(ついに)・tiếng Nhật dùng ついに,diff,chung ư
🔑 Từ nối & hư từ quan trọng,突然,tūrán,đột nhiên,突然(とつぜん)・cùng nghĩa!,same,đột nhiên
🔑 Từ nối & hư từ quan trọng,根据,gēnjù,"dựa theo, căn cứ vào",根拠(こんきょ)・cùng nghĩa nhưng chữ khác,diff,căn cứ
🔑 Từ nối & hư từ quan trọng,除了,chúle,ngoài... ra,,,trừ liễu
🔑 Từ nối & hư từ quan trọng,关于,guānyú,"về, liên quan đến",,,quan ư
🔑 Từ nối & hư từ quan trọng,对于,duìyú,đối với,,,đối ư
🔑 Từ nối & hư từ quan trọng,为了,wèile,"để, vì mục đích",,,vi liễu
